Title,Authors,Year of Publication,DOI
RACS '23: Proceedings of the 2023 International Conference on Research in Adaptive and Convergent Systems,No authors,2023,
APIT '23: Proceedings of the 2023 5th Asia Pacific Information Technology Conference,No authors,2023,
"BuildSys '22: Proceedings of the 9th ACM International Conference on Systems for Energy-Efficient Buildings, Cities, and Transportation",Ortiz,2022,
AVI '24: Proceedings of the 2024 International Conference on Advanced Visual Interfaces,"Conati, Torre, Volpe",2024,
EuroSec '24: Proceedings of the 17th European Workshop on Systems Security,No authors,2024,
CSSE '22: Proceedings of the 5th International Conference on Computer Science and Software Engineering,No authors,2022,
An algorithmic method for business process reengineering and service automation in the public sector,"Charalabidis, Lachana",2023,https://doi.org/10.1145/3614321.3614336
ARTMAN '23: First Workshop on Recent Advances in Resilient and Trustworthy ML Systems in Autonomous Networks,"Blanc, Takahashi",2023,https://doi.org/10.1145/3576915.3624027
"CNSCT '24: Proceedings of the 2024 3rd International Conference on Cryptography, Network Security and Communication Technology",No authors,2024,
SIGSIM-PADS '23: Proceedings of the 2023 ACM SIGSIM Conference on Principles of Advanced Discrete Simulation,"Loper, Jin",2023,
CNML '23: Proceedings of the 2023 International Conference on Communication Network and Machine Learning,No authors,2024,
Hybrid conceptual modeling for simulation: an ontology approach during covid-19,"Saleh, Bell, Sulaiman",2022,
CSAI '23: Proceedings of the 2023 7th International Conference on Computer Science and Artificial Intelligence,No authors,2024,
ACM SE '24: Proceedings of the 2024 ACM Southeast Conference,"Lo, Gamess",2024,
ICCDA '23: Proceedings of the 2023 7th International Conference on Computing and Data Analysis,No authors,2023,
Dependability in edge computing,Bagchi,2019,https://doi.org/10.1145/3362068
Trust Issues: Discrepancies in Trustworthy AI Keywords Use in Policy and Research,"Toney, Curlee",2024,https://doi.org/10.1145/3630106.3659035
ICICM '22: Proceedings of the 12th International Conference on Information Communication and Management,No authors,2022,
Increasing efficiency of management responses in industrial enterprises with implementation of digital monitoring systems,"Nekrasova, Alekseeva",2022,https://doi.org/10.1145/3527049.3527120
BDEIM '23: Proceedings of the 2023 4th International Conference on Big Data Economy and Information Management,No authors,2024,
ICEMC '22: Proceedings of the 2022 International Conference on E-business and Mobile Commerce,No authors,2022,
ICIMMI '22: Proceedings of the 4th International Conference on Information Management & Machine Intelligence,No authors,2023,
Digitalization tools in ensuring the efficiency of the enterprise activity,Lazarevna,2020,https://doi.org/10.1145/3388984.3390641
A Framework for User-Centric Visualisation of Blockchain Transactions in Critical Infrastructure,"Jeyakumar, Ko",2023,https://doi.org/10.1145/3594556.3594624
ICIMMI '23: Proceedings of the 5th International Conference on Information Management & Machine Intelligence,"Goyal, Kumar",2024,
